file,chi2,convergence,niter,neval,regPen,prior,regul,mu,gamma,tau,wavemin,wavemax,spectral_feature
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-100000.0_tau-0.01_fov-44_pixSc-0.7.fits,7.785685293102,True,635,703,0.518486016204,Dirac,hyperbolic,100000.0,,0.01,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-hyperbolic_mu-100000.0_tau-1.0_fov-44_pixSc-0.7.fits,7.577044586616,True,1848,2111,0.01673321809411,Dirac,hyperbolic,100000.0,,1.0,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_MgII-wave-2.13-2.15um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.13-2.15_regul-compactness_mu-0.0_gamma-1.0_fov-44_pixSc-0.7.fits,3.993740750287,False,4633,5000,0.0,Dirac,compactness,0.0,1.0,,2.13,2.15,MgII
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_MgII-wave-2.13-2.15um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.13-2.15_regul-compactness_mu-0.0_gamma-50.5_fov-44_pixSc-0.7.fits,3.993740750287,False,4633,5000,0.0,Dirac,compactness,0.0,50.5,,2.13,2.15,MgII
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_MgII-wave-2.13-2.15um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.13-2.15_regul-compactness_mu-0.0_gamma-100.0_fov-44_pixSc-0.7.fits,3.993740750287,False,4633,5000,0.0,Dirac,compactness,0.0,100.0,,2.13,2.15,MgII
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_MgII-wave-2.13-2.15um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.13-2.15_regul-compactness_mu-1.0_gamma-1.0_fov-44_pixSc-0.7.fits,3.993559881598,False,4615,5000,1.277559330267,Dirac,compactness,1.0,1.0,,2.13,2.15,MgII
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_MgII-wave-2.13-2.15um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.13-2.15_regul-compactness_mu-1.0_gamma-50.5_fov-44_pixSc-0.7.fits,3.992756446244,False,4652,5000,0.09118397917707,Dirac,compactness,1.0,50.5,,2.13,2.15,MgII
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_MgII-wave-2.13-2.15um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.13-2.15_regul-compactness_mu-1.0_gamma-100.0_fov-44_pixSc-0.7.fits,3.993806652775,False,4603,5000,0.08592388000115,Dirac,compactness,1.0,100.0,,2.13,2.15,MgII
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_MgII-wave-2.13-2.15um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.13-2.15_regul-compactness_mu-316.22776601683796_gamma-1.0_fov-44_pixSc-0.7.fits,4.002091074458,False,4642,5000,0.6314940103746,Dirac,compactness,316.22776601683796,1.0,,2.13,2.15,MgII
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_MgII-wave-2.13-2.15um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.13-2.15_regul-compactness_mu-316.22776601683796_gamma-50.5_fov-44_pixSc-0.7.fits,3.992477685533,False,4563,5000,0.086037081248,Dirac,compactness,316.22776601683796,50.5,,2.13,2.15,MgII
